15
1	0	0	3	16 6 30 21 16
2	1	1	3	10 8 8 9 16
3	2	2	3	13 14 10 8 10
4	3	2	3	14 15 10 16 10
5	0	0	5	20 18 15 10 20 15 16 18 16
6	1	2	6	55 15 40 20 45 18 50 20 40 15 50
7	2	4	10	13 26 37 43 52 69 70 80 90 10 11 12 13 14 15 16 17 18 19
8	3	6	7	10 5 10 5 10 5 10 5 10 5 10 5 10
9	0	8	7	10 5 10 5 10 5 10 5 10 5 10 5 10
10	1	10	7	10 5 10 5 10 5 10 5 10 5 10 5 10
11	2	12	7	10 5 10 5 10 5 10 5 10 5 10 5 10
12	3	14	7	10 5 10 5 10 5 10 5 10 5 10 5 10
13	0	16	7	10 5 10 5 10 5 10 5 10 5 10 5 10
14	1	18	7	10 5 10 5 10 5 10 5 10 5 10 5 10
15	2	20	10	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1






